#EMOJI,TITLE,CATEGORY,CODEPOINT,PARENTCODEPOINT,ANNOTATIONS,BRI,VERSION
😀,Grinning Face,SMILEYS & PEOPLE,U+1F600,,face;grin;person,smiley;smile;happy;yay;excited;woo;nice;awesome;cheers;perfect,9
😃,Smiling Face With Open Mouth,SMILEYS & PEOPLE,U+1F603,,face;mouth;open;person;smile,grin;smiley;happy;yay;excited;woo;nice;awesome,9
😄,Smiling Face With Open Mouth and Smiling Eyes,SMILEYS & PEOPLE,U+1F604,,eye;face;mouth;open;person;smile,grin;smiley;happy;yay;joy;excited;woo;nice;awesome,9
😁,Grinning Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F601,,eye;face;grin;person;smile,grin;yay;amazing;joy;perfect;awesome;woo;nice;cheers,9
😆,Smiling Face With Open Mouth and Tightly-Closed Eyes,SMILEYS & PEOPLE,U+1F606,,face;laugh;mouth;open;person;satisfied;smile,lol; haha; laughing; hehe;lawl;lmao;funny;ha;heh,9
😅,Smiling Face With Open Mouth and Cold Sweat,SMILEYS & PEOPLE,U+1F605,,cold;face;open;person;smile;sweat,heh; hehe; haha;lol;laugh;lawl;lmao;funny;ha;laughing,9
😂,Face With Tears of Joy,SMILEYS & PEOPLE,U+1F602,,face;joy;person;tear,laughing; tears; happy; lol; lmao; haha;lawl;funny;ha;heh;hehe,9
🤣,Rolling on the Floor Laughing,SMILEYS & PEOPLE,U+1F923,,face;floor;laugh;rolling,laughing; tears; happy; lol; lmao; haha;lawl;funny;ha;heh;hehe,10.2
☺️,White Smiling Face,SMILEYS & PEOPLE,U+263A U+FE0F,,face;outlined;person;relaxed;smile,happy; excited;yay;smile;nice;fun;thanks;hi;hello;hey;,9
😊,Smiling Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F60A,,blush;eye;face;person;smile,blush;happy;yay;ecstatic;smile;nice;fun;thanks;aww;hi;hello;hey,9
😇,Smiling Face With Halo,SMILEYS & PEOPLE,U+1F607,,angel;face;fairy tale;fantasy;halo;innocent;person;smile,angel;smiley;happy;perfect;aww,9
🙂,Slightly Smiling Face,SMILEYS & PEOPLE,U+1F642,,face;person;smile,happy; excited;yay;smile;nice;fun;thanks,9
